,Kelurahan,Kecamatan,Nama SMA,Alamat
331,Pesanggrahan,PESANGGRAHAN,SMA NEGERI 108 Jakarta,"Alamat: Jl. Kesadaran Raya, RT.1/RW.2, Pesanggrahan, Kec. Pesanggrahan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12320 "
332,Bintaro,PESANGGRAHAN,SMA NEGERI 87 Jakarta,"Alamat: Jl. Mawar II No.1, RW.13, Bintaro, Kec. Pesanggrahan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12330 "
333,Bintaro,PESANGGRAHAN,SMA NEGERI 86 Jakarta Selatan,"Alamat: Jl. Bintaro Permai IV No.36, RT.8/RW.2, Bintaro, Kec. Pesanggrahan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12330 "
334,Bintaro,PESANGGRAHAN,SMA Triguna Jakarta,"Alamat: Jl. Bintaro Permai II No.9, RT.7/RW.9, Bintaro, Kec. Pesanggrahan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12330 "
335,Petukangan Utara,PESANGGRAHAN,SMA Negeri 63 Jakarta,"Alamat: Jl. AMD Manunggal V No.57, RT.1/RW.11, Petukangan Utara, Kec. Pesanggrahan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12260 "
336,Petukangan Utara,PESANGGRAHAN,SMP & SMK Puspita Persada Jakarta,"Alamat: QPCX+P34, Jl. SMA 63, RT.1/RW.1, Petukangan Utara, Kec. Pesanggrahan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12260 "
337,Petukangan Utara,PESANGGRAHAN,SMP SMK 10 Nopember,"Alamat: Jl. H. Ilyas No.27, RT.7/RW.2, Petukangan Utara, Kec. Pesanggrahan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12260 "
338,Petukangan Sel.,PESANGGRAHAN,SMA NEGERI 90 Jakarta Selatan,"Alamat: Jl. Sabar Petukagan Selatan Pesanggrahan No.14, RW.2, Petukangan Sel., Kec. Pesanggrahan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12270 "
339,Ulujami,PESANGGRAHAN,SMA Darunnajah Jakarta,"Alamat: Jl. Ulujami Raya No.86, RW.7, Ulujami, Kec. Pesanggrahan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12250 "
340,Utan Kayu Utara,MATRAMAN,SMK Pembangunan,"Alamat: Jl. Pengayoman III No.95, RW.8, Utan Kayu Utara, Kec. Matraman, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13120 "
341,Kayu Manis,MATRAMAN,SMA Muhammadiyah 12,"Alamat: Jl. Kayu Manis X No.57, RT.1/RW.9, Kayu Manis, Kec. Matraman, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13130 "
342,Palmeriam,MATRAMAN,SMA Fons Vitae 1,"Alamat: Jl. Matraman Raya No.129, RW.8, Palmeriam, Kec. Matraman, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13140 "
343,Kb. Manggis,MATRAMAN,SMA 2 PSKD,"Alamat: Jl. Slamet Riyadi No.3, RW.4, Kb. Manggis, Kec. Matraman, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13150 "
344,Utan Kayu Sel.,MATRAMAN,SMA Negeri 22 Jakarta,"Alamat: Jl. Kramat Asem No.11, RT.11/RW.5, Utan Kayu Sel., Kec. Matraman, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13120 "
345,Utan Kayu Sel.,MATRAMAN,SMA NEGERI 31 Jakarta,"Alamat: Jl. Kayu Manis Timur No.17, RT.3/RW.14, Utan Kayu Sel., Kec. Matraman, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13120 "
346,Utan Kayu Sel.,MATRAMAN,Sekolah Menengah Atas Bina Pangudi Luhur,"Alamat: Jl. Kramat Asem No.54, RT.11/RW.5, Utan Kayu Sel., Kec. Matraman, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13120 "
347,Utan Kayu Sel.,MATRAMAN,SMK TIRTA SARI SURYA,"Alamat: Jl. Nanas I No.15, RW.10, Utan Kayu Sel., Kec. Matraman, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13120 "
348,Pulo Gadung,PULO GADUNG,SMA Don Bosco 2,"Alamat: Jl Pulomas Barat V Kayu Putih, Pulo Gadung, RT.6/RW.13, Kayu Putih, Jl. Pulo Mas Barat V No.4, RT.6/RW.13, Kayu Putih, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13210 "
349,Cipinang,PULO GADUNG,SMA Dian Persada,"Alamat: Jl. Cipinang Baru 1 No.21, RT.10/RW.2, Cipinang, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13240 "
350,Jatinegara Kaum,PULO GADUNG,Sekolah Menengah Kejuruan Garuda,"Alamat: KM. 17, Jl. Bekasi Timur Raya No.21, RW.2, Jatinegara Kaum, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13250 "
351,Jatinegara Kaum,PULO GADUNG,SMK dan SMP Islam Lembaga Pendidikan Islam Nurul Anwar,"Alamat: Jl. Bekasi Timur Raya No.5, RT.4/RW.1, Jatinegara Kaum, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13250 "
352,Jatinegara Kaum,PULO GADUNG,SMA Negeri 36 Jakarta Timur,"Alamat: Jl. Bekasi Timur Raya No.5, RT.4/RW.1, Jatinegara Kaum, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13250 "
353,Rawamangun,PULO GADUNG,Sekolah Menengah Atas Diponegoro 1,"Alamat: Jl. Sunan Giri No.5, RT.8/RW.15, Rawamangun, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220 "
354,Rawamangun,PULO GADUNG,Sekolah Menengah Kejuruan Tunas Markatin,"Alamat: Jl. Waru No.20B, Rawamangun, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220 "
355,Rawamangun,PULO GADUNG,Sekolah Menengah Atas Al-Ghurabaa,"Alamat: Jalan Tenggiri Raya No.47, RT.17/RW.6, Rawamangun, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220 "
356,Rawamangun,PULO GADUNG,Sekolah Menengah Atas Pelita Tiga No.3,"Alamat: Jl. Jelita II No.7, RT.11/RW.14, Rawamangun, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220 "
357,Rawamangun,PULO GADUNG,SMA Labschool Jakarta,"Alamat: Jl. Pemuda No.10, Rawamangun, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220 "
358,Kayu Putih,PULO GADUNG,Sekolah Menengah Atas Santo Fransiskus II,"Alamat: Jl. Bangunan Barat No.29, RT.1/RW.8, Kayu Putih, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13210 "
359,Kayu Putih,PULO GADUNG,SMA Don Bosco 2,"Alamat: Jl Pulomas Barat V Kayu Putih, Pulo Gadung, RT.6/RW.13, Kayu Putih, Jl. Pulo Mas Barat V No.4, RT.6/RW.13, Kayu Putih, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13210 "
360,Kayu Putih,PULO GADUNG,SMA Negeri 21 Jakarta Timur,"Alamat: Jl. Tanah Mas Raya No.1, RT.3/RW.1, Kayu Putih, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13210 "
361,Jati,PULO GADUNG,SMA Negeri 36 Jakarta Timur,"Alamat: Jl. Perhubungan No.20, RT.19/RW.6, Jati, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220 "
362,Bali Mester,JATINEGARA,SMA YAKE,"Alamat: Jl. Jatinegara Timur No.65, RT.11/RW.3, Bali Mester, Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13310 "
363,Rw. Bunga,JATINEGARA,SMAN 54 Jakarta,"Alamat: Jl. Jatinegara Timur IV, Rw. Bunga, Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13350 "
364,Cipinang Cempedak,JATINEGARA,SMK Dewi Sartika YBW,"Alamat: 16, Jl. Kb. Nanas Utara II No.23, RT.16/RW.4, Cipinang Cempedak, Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13340 "
365,Cipinang Muara,JATINEGARA,SMA Negeri 50 Jakarta,"Alamat: Jl. Cipinang Muara 3 No.9, RT.09/RW.15, Cipinang Muara, Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13420 "
366,Cipinang Besar Sel.,JATINEGARA,Sekolah Menengah Atas (SMA) Budi Murni 3 Jakarta,"Alamat: Jl. Cipinang Besar No.2, RT.11/RW.10, Cipinang Besar Sel., Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13410 "
367,Cipinang Besar Sel.,JATINEGARA,SMA Negeri 100 Jakarta Timur,"Alamat: Jl. Persatuan 2 No.2, RT.2/RW.6, Cipinang Besar Sel., Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13410 "
368,Cipinang Besar Sel.,JATINEGARA,SMA NEGERI 53 JAKARTA TIMUR,"Alamat: Jl. Cipinang Jaya II, RT.3/RW.9, Cipinang Besar Sel., Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13410 "
369,Kramat Jati,KRAMAT JATI,SMA Negeri 62 Jakarta,"Alamat: Jl. Raya Jakarta-Bogor, RT.13/RW.11, Kramat Jati, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13540 "
370,Kramat Jati,KRAMAT JATI,SMAS BUDHI WARMAN 1,"Alamat: 6, RW.10, Kramat Jati, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta "
371,Kp. Tengah,KRAMAT JATI,MTs/MA Kafila Ibnu Mas'ud Fullday Jakarta,"Alamat: Jl. H. Entong Jum No.4, RT.3/RW.7, Kp. Tengah, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13540 "
372,Kp. Tengah,KRAMAT JATI,Sma Respati,"Alamat: Jl. Raya Inpres No.4, RW.2, Kp. Tengah, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13760 "
373,Dukuh,KRAMAT JATI,MAN,"Alamat: Jl. Sadar No.79, RW.7, Dukuh, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13550 "
374,Batu Ampar,KRAMAT JATI,SMA NEGERI 51 Jakarta Timur,"Alamat: Jl. Batu Ampar III No.59, RT.12/RW.2, Batu Ampar, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13520 "
375,Batu Ampar,KRAMAT JATI,SMA EMIISc JAKARTA,"Alamat: Jl. Raya Condet No.27, RT.11/RW.3, Batu Ampar, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13520 "
376,Batu Ampar,KRAMAT JATI,Sekolah Menengah Kejuruan Bina Prestasi,"Alamat: Jl. Raya Condet No.28, RT.9/RW.6, Batu Ampar, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13520 "
377,Cililitan,KRAMAT JATI,Sekolah Menengah Atas Trampil 2,"Alamat: 3, Jl. Olah Raga II No.7, RT.12/RW.5, Cililitan, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13640 "
378,Cawang,KRAMAT JATI,SMA Negeri 14 Jakarta Timur,"Alamat: Jl. SMA 14 No.13, RT.6/RW.4, Cawang, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13640 "
379,Cawang,KRAMAT JATI,Sekolah Menengah Atas Muhammadiyah 4,"Alamat: RT.009, Jl. Dewi Sartika No.11, RT.5/RW.4, Cawang, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13630 "
380,Cawang,KRAMAT JATI,Smk Jakarta Timur 1,"Alamat: Jl. Otista Raya No.4b, RT.4/RW.12, Cawang, Kec. Pd. Gede, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13330 "
381,Gedong,PASAR REBO,SMAN 104 Jakarta,"Alamat: Jl. H. Taiman Ujung, RT.1/RW.2, Gedong, Kec. Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13760 "
382,Baru,PASAR REBO,SMA NEGERI 88 Jakarta Timur,"Alamat: 7 MRCW+PR8, Jl. Sawo, RT.7/RW.2, Baru, Kec. Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13780 "
383,Cijantung,PASAR REBO,Sekolah Menengah Atas (SMA) Malahayati,"Alamat: Jl. Bima II No.3, RT.8/RW.8, Cijantung, Kec. Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13770 "
384,Cijantung,PASAR REBO,SMA NEGERI 39 Jakarta,"Alamat: MRHX+FW6, Jl. RA. Fadillah, RT.1/RW.1, Cijantung, Kec. Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13780 "
385,Cijantung,PASAR REBO,SMA Islam PB Soedirman Cijantung,"Alamat: RT.3/RW.4, Cijantung, Kec. Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13770 "
386,Cijantung,PASAR REBO,MALAHAYATI ISLAMIC SCHOOL,"Alamat: Jalan Bima No.3, Cijantung, Kec. Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13770 "
387,Kalisari,PASAR REBO,SMA NEGERI 98 Jakarta,"Alamat: Jl. Jaha No.1, Kalisari, Kec. Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13790 "
388,Pekayon,PASAR REBO,SMA Negeri 106 Jakarta,"Alamat: Jl. Gandaria I No.12, RT.12/RW.9, Pekayon, Kec. Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13710 "
389,Pekayon,PASAR REBO,SMA-SMK Budi Warman 2,"Alamat: Jl. Raya Bogor No.KM. 28, Pekayon, Kec. Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13710 "
390,Pekayon,PASAR REBO,Semangat jangan putus asa,"Alamat: Jalan Belli 1 No.20, RW.6, Pekayon, Kec. Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13710 "
391,Jatinegara,CAKUNG,SMAN 107 JAKARTA,"Alamat: Jl. Swadaya, RT.8/RW.7, Jatinegara, Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13930 "
392,Rw. Terate,CAKUNG,Sekolah Menengah Kejuruan Bina Manajemen,"Alamat: RW5F+V66, Jl. Dr. KRT Radjiman Widyodiningrat, RT.1/RW.6, Rw. Terate, Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13920 "
393,Penggilingan,CAKUNG,SMA Nahdlatul Wathan,"Alamat: Jl. Kebon Raya No.1, RT.4/RW.3, Penggilingan, Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13940 "
394,Cakung Tim.,CAKUNG,SMA NEGERI 102 Jakarta,"Alamat: Jl. Pasar Sulton, RT.9/RW.6, Cakung Tim., Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13910 "
395,Cakung Tim.,CAKUNG,SMA Negeri 89 Jakarta,"Alamat: Jl. Cempaka V No.9, RT.6/RW.9, Cakung Tim., Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13910 "
396,Cakung Tim.,CAKUNG,SMA Diponegoro 2,"Alamat: RWCX+464, Jl. Raya Kayu Tinggi, RT.3/RW.9, Cakung Tim., Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13910 "
397,Cakung Tim.,CAKUNG,SMAN,"Alamat: Gerbang Tol Cakung 2,RT.3, RW.5, Cakung Tim., Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13910 "
398,Pulo Gebang,CAKUNG,Sekolah Menengah Atas Sapta Kharisma,"Alamat: Jl. Raya Pulo Gebang No.99, RT.5/RW.3, Pulo Gebang, Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13950 "
399,Pulo Gebang,CAKUNG,SMA NEGERI 11 JAKARTA TIMUR,"Alamat: Kompleks Pendidikan Jl. Komarudin Lama No.I, RT.10/RW.5, Pulo Gebang, Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13950 "
400,Pulo Gebang,CAKUNG,SMA IT YP IPPI JAKARTA,"Alamat: Jl. Damar Elok No.50, RT.12/RW.5, Pulo Gebang, Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13950 "
401,Pulo Gebang,CAKUNG,SMA YPIPPI CAKUNG JAKARTA TIMUR,"Alamat: Jalan Ujung Karawang, RT.6/RW.5, Pulo Gebang, Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13950 "
402,Pulo Gebang,CAKUNG,SMK IPTEK JAKARTA,"Alamat: Jl. Raya Pulo Gebang No.99, RT.5/RW.3, Pulo Gebang, Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13950 "
403,Pulo Gebang,CAKUNG,SMK Caraka Nusantara,"Alamat: Komplek, Blok H4 No, Jl. Pulau Gebang Indah 1 No.10, RW.13, Pulo Gebang, Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13950 "
404,Cakung Bar.,CAKUNG,SMA Negeri 76 Jakarta,"Alamat: Jl. Cakung Cilincing No.7, RT.11/RW.7, Cakung Bar., Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13910 "
405,Cakung Bar.,CAKUNG,SMA N 76 JAKARTA,"Alamat: Jl. Tipar Cakung No.64, RT.4/RW.8, Cakung Bar., Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13910 "
406,Duren Sawit,DUREN SAWIT,SMA Negeri 71 Jakarta,"Alamat: QW56+6PF, Jalan Kavling TNI Angkatan Laut, RT.7/RW.16, Duren Sawit, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13440 "
407,Pd. Bambu,DUREN SAWIT,Sma Merah Putih Jakarta Timur,"Alamat: QVFX+5WG, RT.11/RW.1, Pd. Bambu, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13430 "
408,Pd. Bambu,DUREN SAWIT,SMAN 61 Jakarta,"Alamat: Jl. Taruna Jl. Pahlawan Revolusi No.2, Pd. Bambu, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13430 "
409,Pd. Bambu,DUREN SAWIT,Sekolah Menengah Atas St. Alexius,"Alamat: Jl. Amal Raya No.2, RT.6/RW.1, Pd. Bambu, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13430 "
410,Pd. Bambu,DUREN SAWIT,Pusaka,"Alamat: Jalan Pahlawan Revolusi Gang Taruna No.89 RT.006/RW.004, RT.2/RW.4, Pd. Bambu, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13430 "
411,Pd. Bambu,DUREN SAWIT,SMA PGRI 1 JAKARTA,"Alamat: 2, Jl. Cipinang Muara I No.12, RT.12/RW.2, Pd. Bambu, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13430 "
412,Klender,DUREN SAWIT,SMA Negeri 59 Jakarta,"Alamat: 3, Jl. Bulak Timur I No.10 - 11, RT.8/RW.16, Klender, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13470 "
413,Klender,DUREN SAWIT,SMA Negeri 12 Jakarta,"Alamat: Jl. Pertanian No.9, RW.1, Klender, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13470 "
414,Pd. Klp.,DUREN SAWIT,SMA Negeri 91 Jakarta Timur,"Alamat: QW6J+GXM, Jl. Lembah Lontar, Pd. Klp., Kec. Duren Sawit, Timur, Daerah Khusus Ibukota Jakarta 13450 "
415,Pd. Klp.,DUREN SAWIT,SMK BPS&K 1 JAKARTA,"Alamat: Jl. Pd. Kelapa Raya No.15-94, RT.3/RW.9, Pd. Klp., Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13450 "
416,Pd. Klp.,DUREN SAWIT,SMA Perguruan Rakyat 2,"Alamat: Jalan AD Jl. Lampiri Raya No.28, RT.4/RW.12, Pd. Klp., Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13450 "
417,Malaka Sari,DUREN SAWIT,sma muhammadiyah 23,"Alamat: 9, Jl. Delima II No.IV, RT.9/RW.3, Malaka Sari, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13460 "
418,Malaka Sari,DUREN SAWIT,SMA Negeri 44 JAKARTA TIMUR,"Alamat: Jl. Delima IV, RT.13/RW.5, Malaka Sari, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13460 "
419,Pd. Kopi,DUREN SAWIT,SMA Prima Nusantara,"Alamat: Jalan Pondok Kopi Raya No. 75, Pondok Kopi, Duren Sawit, RT.1/RW.3, Pd. Kopi, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13460 "
420,Pd. Kopi,DUREN SAWIT,SMA Swasta Corpatarin Utama,"Alamat: Jl. Pd. Kopi Raya No.87, Pd. Kopi, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13460 "
421,Pinang Ranti,MAKASAR,SMA NEGERI 48 Jakarta,"Alamat: Jl. Pinang Ranti II No.1, RT.9/RW.1, Pinang Ranti, Kec. Makasar, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13560 "
422,Pinang Ranti,MAKASAR,SMP-SMA-SMK Uswatun Hasanah,"Alamat: Yayasan Da'wah Dan Pendidikan Islam, Jl. Pusdiklat Depnaker No.2, RT.13/RW.1, Pinang Ranti, Kec. Makasar, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13560 "
423,Kb. Pala,MAKASAR,SMA Negeri 9 Jakarta,"Alamat: 13, Jl. Halim Perdana Kusuma Jl. SMU 9 No.4, RT.13/RW.4, Kb. Pala, Kec. Makasar, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13650 "
424,Kb. Pala,MAKASAR,SMK Bhakti 1,"Alamat: 9, Jl. Perindustrian No.7, RT.11/RW.7, Kb. Pala, Kec. Makasar, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13650 "
425,Halim Perdana Kusumah,MAKASAR,SMA Negeri 67 Jakarta,"Alamat: Jl. Squadron No.35, RT.8/RW.5, Halim Perdana Kusumah, Kec. Makasar, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13610 "
426,Halim Perdana Kusumah,MAKASAR,"SMA Angkasa 1 Halim PK, Jakarta","Alamat: Komplek Halim Perdanakusuma Jl. Trikora No.1, RT.1/RW.14, Halim Perdana Kusumah, Kec. Makasar, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13610 "
427,Halim Perdana Kusumah,MAKASAR,SMA Negeri 42 Jakarta,"Alamat: Jl. Rajawali Raya, Halim Perdana Kusumah, Kec. Makasar, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13650 "
428,Halim Perdana Kusumah,MAKASAR,SMA Angkasa 2,"Alamat: Jalan Avia Skadron No. 55, RT.3/RW.4, Halim Perdana Kusumah, Kec. Makasar, Daerah Khusus Ibukota Jakarta 13610 "
429,Cipinang Melayu,MAKASAR,SMA Negeri 81 Jakarta,"Alamat: Jl. Kartika Eka Paksi, Cipinang Melayu, Kec. Makasar, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13620 "
430,Cipinang Melayu,MAKASAR,Andalusia Building,"Alamat: QW2C+C27, Cipinang Melayu, Kec. Makasar, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta "
431,Ciracas,CIRACAS,SMA Negeri 58 Jakarta,"Alamat: Jl. Raya Ciracas No.2, RT.7/RW.3, Ciracas, Kec. Ciracas, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13740 "
432,Ciracas,CIRACAS,SMA Islam Al Azhar 19,"Alamat: Jl. Raya Centex No.24, RT.7/RW.10, Ciracas, Kec. Ciracas, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13740 "
433,Ciracas,CIRACAS,SMA Al maruf,"Alamat: Jl. Raya Lap. Tembak - Cibubur No.3, RT.3/RW.4, Kelapa Dua Wetan, Ciracas, East Jakarta City, Jakarta 13730 "
434,Cibubur,CIRACAS,SMA Negeri 99 Jakarta Timur,"Alamat: Jl. Cibubur II No.9, RT.9/RW.3, Cibubur, Kec. Ciracas, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13720 "
435,Cibubur,CIRACAS,SMA Minhaajushshoobiriin Cibubur,"Alamat: Jl. Masjid H. Sobirin No.13, RT.13/RW.10, Cibubur, Kec. Ciracas, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13720 "
436,Klp. Dua Wetan,CIRACAS,SMA PKP Jakarta Islamic School,"Alamat: Jl. Lkr. Pkp No.1, Klp. Dua Wetan, Kec. Ciracas, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13730 "
437,Klp. Dua Wetan,CIRACAS,SMA NEGERI 105 Jakarta,"Alamat: Jl. H. Usman No.2, RT.2/RW.4, Klp. Dua Wetan, Kec. Ciracas, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13730 "
438,Klp. Dua Wetan,CIRACAS,Sekolah Menengah Atas (SMA) Chartar Buana,"Alamat: 1, Jl. Rw. Bola Raya No.49, RT.1/RW.7, Klp. Dua Wetan, Kec. Ciracas, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13730 "
439,Klp. Dua Wetan,CIRACAS,Sekolah Menengah Pertama (SMP) Islam Al - Ma'ruf,"Alamat: Jl. Lap. Tembak No.Rt.003/010, RT.3/RW.4, Klp. Dua Wetan, Kec. Ciracas, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13730 "
440,Klp. Dua Wetan,CIRACAS,MAN 15 Jakarta,"Alamat: Jl. Inayah Jl. Raya Klp. Dua Wetan No.24, RT.3/RW.8, Klp. Dua Wetan, Kec. Ciracas, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 46347 "
441,Klp. Dua Wetan,CIRACAS,SMA PERGURUAN ADVENT XV CIRACAS,"Alamat: Jl. Pembaharuan No.2, RW.8, Klp. Dua Wetan, Kec. Ciracas, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13730 "
442,Susukan,CIRACAS,SMA TELADAN 1 JAKARTA,"Alamat: 10, Jl. Madrasah No.49, RT.10/RW.5, Susukan, Kec. Ciracas, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13750 "
